id;user_id;book_id;chapter_id;lesson_id;completed;score;xp_earned;completed_at;created_at
4a178202-bc53-48d6-bbfe-b9973baee9d0;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;11;genesis-11;true;4;58;2026-01-15 21:12:44.837+00;2026-01-15 21:12:45.016656+00
38ac11df-1246-4f79-8d31-a2d317fbae49;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;12;genesis-12;true;5;68;2026-01-15 21:13:17.661+00;2026-01-15 21:13:17.826941+00
5bc69ad6-4acd-4d29-b832-d4c0a5f368b5;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;14;genesis-14;true;1;15;2026-01-15 21:13:39.097+00;2026-01-15 21:13:39.28793+00
0355fc55-32d6-4396-8534-88c8288263f4;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;15;genesis-15;true;1;10;2026-01-15 21:13:58.286+00;2026-01-15 21:13:58.456421+00
46533931-47cf-477a-858b-b59ce9a1d735;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;16;genesis-16;true;2;20;2026-01-15 21:14:22.966+00;2026-01-15 21:14:23.122412+00
e123af91-19a1-4f21-b270-0d1e88bae6ff;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;17;genesis-17;true;1;10;2026-01-15 21:14:38.984+00;2026-01-15 21:14:39.164123+00
60e463f0-ee56-46dd-b2ea-6850898bc3ef;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;18;genesis-18;true;2;25;2026-01-15 21:15:12.684+00;2026-01-15 21:15:12.874871+00
df3afc6c-f26f-43cf-8965-93a40ae36c23;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;19;genesis-19;true;2;20;2026-01-15 21:15:32.689+00;2026-01-15 21:15:32.868526+00
7626da48-80ed-41bd-b1f9-ed64fc7711c7;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;21;genesis-21;true;1;10;2026-01-15 21:15:57.326+00;2026-01-15 21:15:57.494502+00
d2d5590f-053c-4ba8-a08a-f0756a2c9185;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;22;genesis-22;true;4;50;2026-01-15 21:16:37.062+00;2026-01-15 21:16:37.276051+00
185bdfc0-9f76-489f-96da-03a318386646;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;23;genesis-23;true;1;10;2026-01-15 21:16:51.076+00;2026-01-15 21:16:51.253716+00
c069e5e1-3889-4f50-a01f-67b340a7ecff;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;24;genesis-24;true;1;10;2026-01-15 21:17:21.045+00;2026-01-15 21:17:21.201893+00
510f77f3-0770-464b-83e8-2014cffc56a2;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;1;genesis-1-intro;true;10;178;2026-01-15 21:17:45.854+00;2026-01-15 21:17:45.823763+00
2956ca7d-f9d7-460f-a6fb-2bffdbb3f409;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;25;genesis-25;true;4;50;2026-01-15 21:17:59.129+00;2026-01-15 21:17:59.293425+00
