id;challenger_id;opponent_id;status;book_id;chapter;challenger_score;opponent_score;challenger_answers;opponent_answers;total_questions;current_question;winner_id;xp_reward;manna_reward;created_at;started_at;completed_at;updated_at
bd72eb65-81a4-4cd8-8b30-3b6c9a6a2b58;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;;cancelled;;;0;0;0;0;5;0;;50;10;2026-01-14 13:14:34.755295+00;;;2026-01-14 13:14:38.772103+00
481df8ba-2684-4204-a2fd-6f097168696c;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;;waiting;;;0;0;0;0;5;0;;50;10;2026-01-15 11:49:09.389027+00;;;2026-01-15 11:49:09.389027+00
